[Sat Mar 14 14:42:06.634293 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.634356 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:06.634366 2026] [php:warn] [pid 1238:tid 1238] [client ::1:37482] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7, referer: http://localhost:8002/home
[Sat Mar 14 14:42:20.810388 2026] [php:warn] [pid 1240:tid 1240] [client ::1:41840] PHP Warning:  include(../views/header.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:20.810450 2026] [php:warn] [pid 1240:tid 1240] [client ::1:41840] PHP Warning:  include(): Failed opening '../views/header.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:20.810504 2026] [php:warn] [pid 1240:tid 1240] [client ::1:41840] PHP Warning:  include(../views/footer.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 14:42:20.810524 2026] [php:warn] [pid 1240:tid 1240] [client ::1:41840] PHP Warning:  include(): Failed opening '../views/footer.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 15:25:06.021480 2026] [php:warn] [pid 1240:tid 1240] [client ::1:33628] PHP Warning:  include(./short.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 15:25:06.021534 2026] [php:warn] [pid 1240:tid 1240] [client ::1:33628] PHP Warning:  include(): Failed opening './short.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 15:25:06.021575 2026] [php:warn] [pid 1240:tid 1240] [client ::1:33628] PHP Warning:  include(../short.php): Failed to open stream: No such file or directory in /var/www/Sites/LearningHtml/public/index.php on line 7
[Sat Mar 14 15:25:06.021589 2026] [php:warn] [pid 1240:tid 1240] [client ::1:33628] PHP Warning:  include(): Failed opening '../short.php' for inclusion (include_path='.:/usr/share/php') in /var/www/Sites/LearningHtml/public/index.php on line 7
